Date,Hobby,Expense,Description
2023-02-10,Video Games,50,Purchase of game console
2023-02-20,Sports,30,Monthly gym membership
2023-02-25,Fashion & Beauty,100,New clothing
2023-03-05,Video Games,40,Purchase of a game
2023-03-10,Sports,35,Equipment purchase
2023-03-15,Fashion & Beauty,80,Shoes and accessories
2023-04-01,Video Games,55,In-game purchases
2023-04-05,Sports,40,Gym session fees
2023-04-10,Fashion & Beauty,120,Makeup and skincare
2023-05-01,Video Games,65,Additional gaming content
2023-05-05,Sports,50,Supplements
2023-05-10,Fashion & Beauty,90,Clothing shopping
2023-06-01,Video Games,75,Online subscriptions
2023-06-05,Sports,45,Sports event tickets
2023-06-10,Fashion & Beauty,110,Accessories
2023-07-01,Video Games,80,Game merchandise
2023-07-05,Sports,60,Sports equipment
2023-07-10,Fashion & Beauty,130,Clothing and shoes
2023-08-01,Video Games,100,Gaming peripherals
2023-08-05,Sports,55,Sports apparel
2023-08-10,Fashion & Beauty,150,Beauty
